cell	nCount_SCT	nFeature_SCT	seurat_clusters
X140_166	25043	6217	5
X151_177	25123	6572	11
X129_180	25040	5567	2
X154_185	25027	6429	8
X132_190	25233	5685	6
X136_190	25013	4421	12
X118_184	24252	5306	9
X146_181	23897	5529	8
X138_189	25148	4778	12
X139_167	25039	5998	12
X142_178	23657	5252	7
X139_164	25273	5848	4
X160_172	25061	6277	10
X158_176	24321	6060	11
X144_181	25339	5782	8
X138_164	24957	6366	9
X134_173	25353	6228	6
X141_171	24260	5352	6
X146_186	25249	5959	5
X133_167	24742	5518	4
X146_193	23784	4546	0
X138_179	23773	4490	7
X163_174	25145	6575	10
X152_189	25130	6317	5
X149_175	24619	6232	8
X121_169	24060	3821	1
X141_176	23749	4740	6
X150_186	25048	6589	5
X155_189	25247	6081	0
X150_162	24086	5814	0
X125_172	23701	5307	4
X143_160	24807	6085	3
X132_184	23661	5260	2
X124_181	24740	5785	2
X125_190	23901	3916	4
X154_184	24983	6516	8
X143_189	25013	6421	6
X145_171	25307	6034	0
X164_176	24759	6120	10
X134_190	25175	4616	12
X141_187	25173	5165	7
X144_183	23801	4841	1
X144_159	23735	4754	1
X148_168	25085	6618	0
X143_171	23707	5040	6
X146_164	25122	6492	4
X152_163	24043	4089	0
X162_178	25200	6275	10
X140_164	25007	6433	4
X117_180	25007	6242	3
X131_176	23679	4655	2
X130_190	24873	5461	1
X145_182	23763	5423	8
X162_174	25013	6289	10
X127_166	25241	6108	3
X149_184	25260	6237	8
X129_182	24914	5524	2
X119_180	23915	4451	4
X121_171	25083	6091	3
X135_162	24836	5365	9
X127_177	23719	4968	0
X133_186	25120	5558	7
X140_177	23690	4781	7
X132_162	24985	6330	3
X142_170	25292	5650	6
X140_188	25215	5134	12
X146_171	24940	5625	5
X151_161	25175	5854	0
X145_190	23745	4947	0
X146_190	24006	5248	1
X156_189	25149	6182	0
X150_193	23829	5239	0
X140_168	25212	6061	6
X147_181	23661	5230	8
X151_179	25211	6606	11
X125_168	23710	4765	3
X121_170	25171	5743	3
X146_179	25266	5938	8
X114_187	23795	4945	3
X144_171	24856	5640	6
X158_187	23213	3890	1
X156_175	24536	5982	11
X117_179	23730	4949	3
X134_178	25300	5483	12
X125_184	24454	5632	2
X150_160	25078	5267	1
X149_167	25177	6538	0
X130_189	25347	5851	0
X151_181	25083	6534	8
X152_180	25036	6390	8
X135_193	25091	6164	6
X144_163	24941	6341	4
X153_185	25040	6489	8
X122_175	23805	5337	4
X118_191	24103	5239	3
X149_190	25237	5717	5
X144_162	24112	5329	3
X120_190	23774	4788	9
X147_169	25167	6560	6
X140_161	25178	6264	3
X134_185	24849	5486	7
X137_161	24961	5899	3
X131_196	23379	4268	1
X142_176	24863	5581	6
X134_191	25079	4860	12
X118_192	25161	6231	6
X126_194	25311	5994	3
X148_161	24462	5910	0
X151_190	25175	5985	5
X119_192	25300	5688	3
X156_183	25216	5867	8
X147_176	25346	5894	8
X135_174	24225	5523	6
X136_170	23795	4768	13
X142_167	25027	6473	6
X152_169	23734	5041	0
X141_173	23733	4686	6
X148_185	25166	6446	5
X131_182	24704	5445	2
X138_185	23735	4656	7
X150_173	24465	6135	8
X147_172	25171	6671	8
X151_163	24559	5857	0
X142_187	23761	4546	1
X149_182	25146	6401	8
X152_182	24932	6348	8
X130_169	24924	5633	4
X128_180	23707	5287	2
X126_170	23757	4982	4
X117_188	25276	5547	9
X146_182	23764	4705	8
X132_185	23661	5188	1
X128_163	23303	3998	0
X157_186	25275	5592	0
X157_174	24997	6274	11
X133_182	23676	5170	2
X120_193	25088	6559	3
X155_176	24288	5898	11
X139_159	25071	5960	1
X165_175	25262	5773	10
X132_188	23850	4673	2
X153_172	25271	6126	8
X140_173	23692	5053	6
X144_177	24974	5755	5
X164_175	24816	6112	10
X161_171	23811	4224	10
X115_188	25087	6131	3
X163_173	25091	6396	10
X150_194	23243	4627	0
X145_166	25084	6434	5
X130_182	23719	5120	2
X118_189	23725	5025	9
X154_192	25170	6103	0
X116_190	25181	6069	6
X153_190	25173	5536	5
X151_175	25116	6472	8
X150_166	25128	6469	0
X133_194	24963	5592	6
X140_187	25119	5432	12
X147_164	24939	6407	5
X130_183	25079	5573	2
X133_170	24217	5395	2
X163_172	24152	5161	10
X134_162	25086	6400	3
X129_190	23696	5120	2
X140_160	23846	5472	3
X146_192	25133	6204	0
X157_179	24150	5775	11
X132_167	23690	5433	4
X138_165	25377	5925	4
X160_176	24168	5774	11
X157_185	25226	6125	6
X142_186	23780	4643	7
X133_171	23594	5254	13
X133_162	24109	5683	3
X134_184	23664	5150	7
X145_165	25003	6298	5
X153_182	25098	6502	8
X145_184	24773	5584	1
X150_171	24770	6081	8
X132_194	24135	5311	6
X150_172	24515	6201	8
X147_163	24980	6557	5
X148_177	24983	6554	8
X138_170	25285	6097	6
X123_178	24728	5462	0
X156_184	25172	5536	5
X131_195	25295	5606	6
X142_180	24125	5406	7
X153_175	25025	6203	11
X144_194	23850	4176	0
X134_177	23718	4790	12
X158_182	25064	6517	0
X155_175	24895	6268	11
X121_187	23792	5208	9
X126_180	24141	5561	2
X147_179	25168	6390	8
X129_183	23647	5273	2
X118_177	24441	5371	3
X125_171	23810	4716	4
X135_188	25194	4660	12
X122_183	25103	5624	2
X152_179	25110	6584	11
X155_173	25261	5896	10
X137_166	25281	5612	5
X153_188	25181	6185	5
X142_173	23720	4956	6
X151_180	24986	6548	8
X138_184	23990	4112	7
X143_170	23652	5262	2
X160_175	24505	5778	11
X142_171	24148	5456	6
X134_168	24616	5549	6
X135_192	25212	5810	7
