cell	nCount_SCT	nFeature_SCT	seurat_clusters
X157_173	25077	6636	10
X152_186	24116	6046	5
X133_165	25279	5581	9
X143_164	25058	6527	4
X127_190	23948	4233	4
X151_192	25241	6172	0
X124_188	23867	4166	4
X119_194	23413	4328	1
X153_169	23787	4332	0
X126_185	25263	5979	2
X136_187	25208	4808	12
X115_187	25090	6364	3
X117_183	23713	5122	9
X127_191	23413	3911	4
X152_176	25082	6508	11
X148_191	24413	5436	5
X115_178	22845	5532	0
X123_174	23683	5414	4
X130_179	23681	5133	6
X139_176	23697	4555	7
X135_159	25086	5052	1
X141_166	25056	6155	5
X124_190	23963	4156	4
X138_188	25198	4599	12
X117_184	23848	5306	9
X118_173	23378	4708	6
X146_180	25191	6283	8
X133_195	25008	6211	0
X155_192	23743	4851	0
X117_190	23728	4793	3
X148_184	25335	6001	8
X139_181	23637	4455	7
X116_185	23972	5111	9
X145_183	23680	5147	8
X146_185	25212	5690	5
X123_195	23839	3778	1
X152_168	23263	3889	1
X123_173	23729	4873	4
X158_184	24025	5274	0
X158_186	23720	3852	1
X144_179	23655	5313	8
X132_181	23696	5309	2
X141_185	23751	4632	7
X160_171	23689	4975	10
X129_172	25302	5806	2
X121_174	25046	6433	3
X142_175	23789	5242	6
X129_195	23872	4284	3
X147_175	25249	6137	8
X157_176	24688	6233	11
X152_191	25267	5598	1
X133_183	23644	5238	2
X146_159	24065	3931	1
X155_188	25247	5864	5
X116_192	23365	3807	1
X140_171	23715	5032	6
X115_190	23754	4694	3
X124_171	23751	4725	4
X142_162	25064	5516	4
X139_191	23802	4885	7
X145_193	25347	5856	0
X114_185	25284	5516	3
X117_189	23769	4900	9
X121_183	24975	5411	5
X150_192	25320	5933	0
X127_174	23731	5051	0
X129_189	25289	5707	0
X117_176	23907	4037	3
X124_195	23713	4171	3
X141_170	24544	5526	6
X135_161	24667	5895	3
X134_167	25299	5828	0
X121_172	25234	5772	3
X123_171	23727	5067	4
X122_172	23731	4980	4
X119_172	23690	3772	1
X141_186	23807	4931	7
X166_177	22969	5371	1
X140_185	25255	5191	7
X139_174	23726	4815	6
X137_167	25138	6223	6
X123_193	23680	4480	3
X116_188	23770	4386	3
X129_177	23657	4517	2
X148_175	25173	6518	8
X116_181	23716	4746	3
X160_180	23772	4747	6
X132_168	25165	5567	3
X142_181	23679	4949	7
X129_193	23780	4388	1
X132_161	23830	4327	1
X153_194	23220	4895	0
X120_173	25230	6217	3
X136_188	25123	4553	12
X121_175	25231	5864	0
X155_183	25225	5649	8
X127_173	23718	4979	2
X128_170	23724	4381	4
X120_192	23852	4318	6
X158_183	25293	5957	0
X139_171	23675	4996	6
X115_181	25000	6218	3
X162_176	24121	5513	10
X165_180	23110	5232	1
X126_164	23340	4169	1
X161_173	25186	6523	10
X139_193	24121	4067	6
X115_191	23313	3771	1
X117_193	23414	4362	1
X131_161	23298	4637	1
X141_169	23645	5335	6
X138_166	24976	6118	5
X125_175	23655	4643	0
X143_186	23730	4758	1
X138_191	23727	4740	7
X142_182	23910	5215	7
X130_196	23371	4700	1
X125_178	24277	5414	0
X151_183	24958	6414	8
X143_188	25220	5999	6
X119_176	23738	4596	3
X125_174	23817	4785	0
X128_173	23711	5415	2
X128_177	23667	5042	2
X129_169	23771	4591	4
X142_193	23925	3907	6
X147_183	23866	5541	8
X149_192	25333	5845	0
X147_188	25122	6216	5
X122_184	25051	5662	12
X132_165	24518	5207	4
X140_163	25042	6157	4
X126_196	23283	4765	1
X129_179	24323	5406	2
X129_171	23661	5152	2
X132_193	25236	5236	12
X133_184	23667	5194	7
X138_171	25031	5616	6
X128_179	23692	5221	2
X129_187	23765	5023	2
X136_172	25282	6114	6
X135_180	24200	5229	7
X142_183	23731	4546	7
X122_177	23687	5288	0
X134_174	23785	4900	6
X152_161	23312	4038	1
X137_178	23769	4548	7
X149_185	25355	5956	8
X149_173	24227	5973	8
X120_194	23929	3872	3
X125_192	23822	4586	4
X152_178	24564	6082	11
X141_181	24636	5312	7
X119_175	25061	5516	3
X122_181	23710	5125	2
X136_181	23693	4653	7
X152_193	25306	5695	0
X155_187	25138	5457	5
X123_192	23837	4428	4
X141_159	25204	5839	1
X150_167	23857	3977	0
X140_189	25211	5334	7
X162_181	23329	4133	1
X143_181	23778	4863	1
X124_166	23733	3707	1
X148_169	25129	6385	6
X124_173	23783	4967	4
X136_173	23809	5263	6
X126_169	24325	5548	4
X122_188	23797	4741	9
X158_188	23277	4013	1
X141_188	24291	5001	7
X156_187	25112	6346	0
X129_173	23769	4911	2
X142_190	23656	4706	6
X133_163	23644	4510	1
X152_174	25151	6275	8
X141_189	23757	4548	7
X126_174	24250	5389	0
X148_180	25083	6511	8
X124_179	24688	5608	2
X126_181	25211	5781	2
X118_187	25136	5886	9
X122_176	23704	4843	0
X135_184	23855	5291	7
X156_192	23279	4239	0
X131_167	23673	5269	4
X132_189	24951	5425	7
X140_172	23688	5031	6
X127_171	23718	5257	4
X135_178	23741	4997	7
X151_188	25080	6544	5
X138_163	25098	6475	9
X120_182	23763	4918	9
X140_190	24521	4909	7
X144_168	25273	5978	5
X137_179	23761	4471	7
X121_188	23712	5069	9
X133_169	23890	5338	2
X139_163	25034	6471	9
X161_176	24876	5888	10
X130_184	23708	4917	2
X143_174	24056	5424	0
X119_189	23748	5213	9
X151_164	25015	6405	0
X124_187	23927	4193	4
X145_181	25179	6181	8
X137_188	25135	4542	12
X130_188	23949	5081	2
X119_173	23743	4817	3
X139_175	23783	4658	6
X131_175	23695	4818	13
X130_173	23617	5420	2
X148_190	25277	5658	5
X146_166	25218	5638	5
X152_194	23208	4382	0
X150_161	24445	5821	0
X128_166	24883	5359	4
X143_183	23642	4642	7
X144_185	23745	4911	5
X117_187	23903	5320	9
X127_178	23720	5280	2
X142_185	23764	4636	7
X135_189	25142	4971	12
X120_188	25111	5383	9
X155_184	24960	6272	8
X122_174	23704	5271	4
X136_189	25115	4547	12
X136_191	23850	4124	12
X145_169	23702	5416	6
X163_181	22969	5653	1
X166_176	22955	5234	1
X137_190	24973	4408	12
X139_158	24104	3639	1
X145_163	25196	6570	4
X148_159	23251	3826	1
X147_189	25034	6471	5
X164_180	23285	3798	1
X152_165	23111	4355	0
X149_194	23109	5222	0
X116_189	24583	5253	3
X127_187	24304	5358	2
X146_188	24666	5597	5
X135_177	23654	5128	7
X129_192	23931	4317	4
X124_189	24055	4159	4
X116_187	23784	4578	9
X143_182	23801	4489	7
X165_179	23941	4092	1
X146_163	25131	6457	4
X132_187	23722	4672	2
X122_192	23932	4021	5
X153_178	25199	6573	11
X148_193	24127	4095	0
X124_177	23739	5122	0
X125_189	23548	3958	4
X144_190	23684	5293	0
X120_179	23695	4620	4
X139_172	23700	4852	6
X140_175	23862	4663	6
X137_171	25352	5915	6
X127_167	23896	5274	4
X147_159	23562	3728	1
X125_177	23704	5009	0
X164_173	25293	5494	10
X123_182	23981	5491	2
X148_182	25310	5885	8
X156_172	23740	4947	0
X114_183	23688	4882	3
X127_164	23714	4880	1
X157_172	25329	5675	0
X135_168	25136	5655	1
X126_193	23780	4402	3
X154_169	22996	5388	0
X126_190	23616	3947	4
X114_184	25095	5302	3
X138_175	23714	4762	6
X121_179	23727	4676	4
X121_177	23708	4569	4
X131_181	23706	5117	2
X145_186	24011	5261	5
X128_176	23833	4459	2
X144_169	25295	5775	5
X142_166	25326	5916	4
X137_194	24051	3873	6
X138_183	23894	4118	7
X138_172	23694	5082	6
X149_159	23227	4729	1
X142_189	24119	4224	0
X132_191	23729	4796	5
X120_174	23789	4399	0
X146_176	23793	5449	5
X117_175	23187	4728	1
X140_191	23835	4560	7
X139_189	24992	4448	12
X127_195	23883	4249	3
X122_187	23697	4586	9
X152_187	25141	6651	5
X123_172	23710	4455	4
X121_168	23087	5346	1
X119_178	23769	4837	4
X130_180	23731	5190	2
X138_182	24047	4015	7
X155_172	23854	4317	0
X151_169	25251	5656	0
X151_166	23724	4411	0
X156_191	23766	4678	0
X140_186	25213	5261	12
X140_178	23699	4487	7
X166_178	22900	5645	1
X139_177	24017	4015	1
X136_169	23740	4930	2
X121_185	23652	5232	9
X139_178	24044	4210	7
X144_167	25302	5988	5
X143_187	23740	4912	1
X135_165	25051	6263	9
X147_177	25345	5950	8
X142_188	23712	4386	6
X146_183	23856	4370	8
X152_162	23946	3884	0
X126_173	23726	4938	4
X141_179	23755	5112	7
X147_194	23153	5276	1
X135_158	23256	4366	1
X120_183	23655	5227	9
X139_183	23829	4111	7
X121_195	23310	4978	1
X129_170	23766	4764	4
X142_165	25057	6387	4
X131_193	23761	4638	5
X129_196	23186	5413	1
X140_182	23714	4658	7
X135_176	23699	4505	6
X119_182	23838	5406	9
X118_183	23690	5122	9
X141_182	23761	5032	7
X118_179	25296	5980	3
X157_190	23535	3773	0
X159_183	23204	3947	1
X130_172	24962	5777	2
X157_183	25255	5893	1
X150_191	25001	5601	5
X116_184	23650	4307	9
X134_172	23693	5148	6
X128_195	23734	3857	3
X136_168	25262	5815	1
X125_176	24098	4345	0
X157_181	25183	6050	5
X136_182	23770	4627	7
X137_184	25211	5273	7
X130_191	24117	4234	4
X116_177	23324	4131	1
X139_179	23770	4393	7
X124_180	24043	5484	2
X123_187	23786	4622	5
X156_171	23001	5201	1
X125_166	25291	5582	3
X134_186	24462	5259	7
X136_183	23774	4669	7
X123_188	23927	4035	4
X125_196	23282	4811	1
X119_190	23739	4427	9
X135_166	24141	5489	4
X143_192	25183	5745	0
X136_196	23480	4062	1
X155_193	23314	4208	1
X141_172	23721	5013	6
X146_194	23423	4009	1
X157_191	22808	5646	0
X154_180	25008	6387	5
X157_171	23375	3785	0
X155_171	22687	5890	1
X135_179	23709	4685	7
X137_177	23690	4574	7
X126_184	23742	5056	2
X133_185	23679	5005	7
X114_189	23279	4093	1
X141_193	23432	4352	6
X127_196	23092	5136	1
X141_191	23803	4685	6
X148_194	22852	5810	1
X129_191	23816	4041	4
X158_189	23036	5211	1
X114_181	23133	4440	3
X137_195	23450	3851	1
X141_158	23375	3896	1
X133_176	23676	5311	6
X128_196	23117	5407	1
X114_190	23096	5514	0
X155_194	22604	6431	1
X160_182	22579	6322	1
X116_183	23926	4019	9
X145_195	23073	5666	1
X142_158	23166	4930	1
X119_171	22852	5590	1
X151_160	23083	4877	1
X132_160	23150	5539	1
X124_196	23306	5255	1
X146_195	22344	6603	1
X154_194	23066	5579	1
X120_169	22554	6171	1
X133_159	22556	6308	1
X159_184	22702	5861	0
X122_167	22847	5727	1
X137_196	23430	5364	1
X123_196	22347	6602	1
X144_195	23120	5894	1
X156_193	22412	6420	1
X142_194	22908	6151	1
X163_171	22552	6253	1
X123_166	22448	6375	0
X140_194	22669	6600	0
X118_194	22518	6519	1
X166_175	22345	6431	1
X115_192	22194	6574	0
X116_193	22460	6551	1
X134_197	22182	6772	0
X136_197	22014	6757	0
X166_179	22300	6667	1
